time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-12-20T19:57:28.790Z,37.6508333,-118.858,4.44,0.37,md,15,117,0.02176,0.04,nc,nc73124726,2018-12-20T21:24:02.566Z,"11km E of Mammoth Lakes, CA",earthquake,0.59,0.65,0.129,12,reviewed,nc,nc
2018-12-20T19:53:44.000Z,33.4983333,-116.7565,6.9,0.17,ml,12,114,0.03922,0.06,ci,ci38401016,2018-12-20T20:41:54.724Z,"10km SW of Anza, CA",earthquake,0.3,0.37,0.05,3,reviewed,ci,ci
2018-12-20T19:49:42.990Z,38.8131676,-122.8281631,1.56,1.38,md,21,41,0.004366,0.04,nc,nc73124721,2018-12-20T20:37:03.240Z,"7km WNW of The Geysers, CA",earthquake,0.25,0.32,0.01,5,automatic,nc,nc
2018-12-20T19:45:42.364Z,61.5232,-148.211,17.8,2.3,ml,,,,0.86,ak,ak20524194,2018-12-20T19:52:34.834Z,"40km ESE of Lazy Mountain, Alaska",earthquake,,0.1,,,automatic,ak,ak
2018-12-20T19:41:44.800Z,38.8128319,-122.8278351,1.31,0.99,md,17,46,0.004095,0.04,nc,nc73124711,2018-12-20T19:43:22.608Z,"7km WNW of The Geysers, CA",earthquake,0.23,0.41,0.06,4,automatic,nc,nc
2018-12-20T19:30:36.965Z,38.3557,-118.921,5.7,1.7,ml,14,128.42,0.343,0.138,nn,nn00671082,2018-12-20T20:06:11.928Z,"29km ENE of Bridgeport, California",earthquake,,2.1,0.33,2,reviewed,nn,nn
2018-12-20T19:29:20.420Z,33.7668333,-117.5281667,6.66,0.9,ml,8,120,0.07311,0.1,ci,ci38400992,2018-12-20T19:44:45.653Z,"12km SSE of Corona, CA",earthquake,0.31,1.3,0.126,13,reviewed,ci,ci
2018-12-20T19:27:11.462Z,38.3905,-118.9269,8,2.2,ml,23,64.16,0.143,0.1787,nn,nn00671078,2018-12-20T19:57:20.859Z,"30km WSW of Hawthorne, Nevada",earthquake,,1.7,0.34,11,reviewed,nn,nn
2018-12-20T19:26:09.340Z,1.8318,127.272,124.1,4.9,mb,,109,1.057,0.94,us,us2000ivis,2018-12-20T19:44:15.040Z,"82km W of Tobelo, Indonesia",earthquake,4.6,7.9,0.082,46,reviewed,us,us
2018-12-20T19:19:59.454Z,61.3961,-150.0441,45.8,1.6,ml,,,,0.32,ak,ak20524189,2018-12-20T19:23:15.659Z,"14km SSW of Big Lake, Alaska",earthquake,,0.7,,,automatic,ak,ak
2018-12-20T18:57:03.660Z,44.8763333,-111.5171667,13.21,1.04,ml,8,141,0.077,0.09,mb,mb80329399,2018-12-20T21:08:15.990Z,"40km NW of West Yellowstone, Montana",earthquake,0.44,0.72,0.388,3,reviewed,mb,mb
